"Code";"Language";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday"
"ab";"Abchasisch";"ашәахь";"аҩаш";"ахаш";"аҧшьаш";"ахәуаш";"асабш";"амҽыш"
"af";"Afrikaans";"Maandag";"Dinsdag";"Woensdag";"Donderdag";"Vrydag";"Saterdag";"Sondag"
"sq";"Albanisch";"e hene";"e marte";"e mërkurë";"e enjete";"e premte";"e shtune";"e dielle"
"ang";"Altenglisch";"monandæg";"Tiwesdæg";"Wodnesdæg";"Þunresdæg";"Frigedæg";"Sæterndæġ";"sunnandæg"
"am";"Amharisch";"ሰኞ";"ማክሰኞ";"ረቡዕ";"ሐሙስ";"ዓርብ";"ቅዳሜ";"እሑድ"
"ar";"Arabisch";"الإثنين‎";"الثلاثاء‎";"الأربعاء‎";"الخميس‎";"الجمعة‎";"السبت‎";"الأحد‎"
"hy";"Armenisch";"երկուշաբթի";"երեքշաբթի";"չորեքշաբթի";"հինգշաբթի";"ուրբաթ";"շաբաթ";"կիրակի"
"nb";"Norway";"mandag";"tirsdag";"onsdag";"torsdag";"fredag";"lørdag";"søndag"
"bs";"Bosnisch";"ponedeljak";"utorak";"srijeda";"četvrtak";"petak";"subota";"nedelja"
"bg";"Bulgarisch";"понеделник";"вторник";"сряда";"четвъртък";"петък";"събота";"неделя"
"da";"Dänisch";"mandag";"tirsdag";"onsdag";"torsdag";"fredag";"lørdag";"søndag"
"de";"Deutsch";"Montag";"Dienstag";"Mittwoch";"Donnerstag";"Freitag";"Samstag";"Sonntag"
"en";"Englisch";"Monday";"Tuesday";"Wednesday";"Thursday";"Friday";"Saturday";"Sunday"
"eo";"Esperanto";"lundo";"mardo";"merkredo";"ĵaŭdo";"vendredo";"sabato";"dimanĉo"
"et";"Estnisch";"esmaspäev";"teisipäev";"kolmapäev";"neljapäev";"reede";"laupäev";"pühapäev"
"fi";"Finnisch";"maanantai";"tiistai";"keskiviikko";"torstai";"perjantai";"lauantai";"sunnuntai"
"fr";"Französisch";"lundi";"mardi";"mercredi";"jeudi";"vendredi";"samedi";"dimanche"
"ka";"Georgisch";"ორშაბათი";"სამშაბათი";"ოთხშაბათი";"ხუთშაბათი";"პარასკევი";"შაბათი";"კვირადღე"
"el";"Griechisch";"Δευτέρα";"Τρίτη";"Τετάρτη";"Πέμπτη";"Παρασκευή";"Σάββατο";"Κυριακή"
"he";"Hebräisch";"Jom Schenij";"Jom Schlischij";"Jom Reviij";"Jom Chamischij";"Jom Schischij";"Schabbat";"Jom Rischon"
"hi";"Hindi";"सोमवार";"मंगलवार";"बुधवार";"गुरूवार";"शुक्रवार";"शनिवार";"रविवार"
"id";"Indonesisch";"Senin";"Selasa";"Rabu";"Kamis";"Jumat";"Sabtu";"Minggu"
"ia";"Interlingua";"lunedi";"martedi";"mercuridi";"jovedi";"venerdi";"sabbato";"dominica"
"ga";"Irisch";"Luan";"Máirt";"Céadaoin";"Déardaoin";"Aoine";"Satharn";"Domhnach"
"is";"Isländisch";"mánudagur";"þriðjudagur";"miðvikudagur";"fimmtudagur";"föstudagur";"laugardagur";"sunnudagur"
"it";"Italienisch";"lunedì";"martedì";"mercoledì";"giovedì";"venerdì";"sabato";"domenica"
"ja";"Japanisch";"月曜日";"火曜日";"水曜日";"木曜日";"金曜日";"土曜日";"日曜日"
"ks";"Kashmiri";"ژٔنٛدرٕوار";"بۄنٛوار";"بۄد وار";"برَٛسوار";"جُمعہ";"بَٹہٕ وار";"آتھوار"
"ca";"Katalanisch";"dilluns";"dimarts";"dimecres";"dijous";"divendres";"dissabte";"diumenge"
"ko";"Koreanisch";"월요일";"화요일";"수요일";"목요일";"금요일";"토요일";"일요일"
"hr";"Kroatisch";"ponedjeljak";"utorak";"srijeda";"četvrtak";"petak";"subota";"nedjelja"
"la";"Latein";"dies Lunae";"dies Martis";"dies Mercurii";"dies Iovis";"dies Veneris";"dies Saturni";"dies Solis"
"lt";"Litauisch";"pirmadienis";"antredienis";"trečiadienis";"ketvirtadienis";"penktadienis";"šeštadienis";"sekmadienis"
"ml";"Malayalam";"Thinkal";"Chovva";"Buthan";"Vyaazham";"Velli";"shani";"недела"
"mi";"Maori";"Rāhina";"Rātū";"Rāapa";"Rāpare";"Rāmere";"Rāhoroi";"Rātapu"
"mk";"Mazedonisch";"понеделник";"вторник";"среда";"четврток";"петок";"сабота";"недела"
"nl";"Niederländisch";"maandag";"dinsdag";"woensdag";"donderdag";"vrijdag";"zaterdag";"zondag"
"nov";"Novial";"lundie";"mardie";"merkurdie";"jodie";"venerdie";"saturdie";"sundie"
"nn";"Nynorsk";"måndag";"tysdag";"onsdag";"torsdag";"fredag";"laurdag";"sundag"
"oc";"Occitan";"dimenge";"diluns";"dimars";"dimècres";"dijòus";"divendres";"dissabte"
"fa";"Persisch";"دو شنبه";"سه شنبه";"چهار شنبه";"پنجشنبه";"جمعه";"شنبه";"یکشنبه"
"pl";"Polnisch";"poniedziałek";"wtorek";"środa";"czwartek";"piątek";"sobota";"niedziela"
"pt";"Portugiesisch";"segunda-feira";"terça-feira";"quarta-feira";"quinta-feira";"sexta-feira";"sábado";"domingo"
"ro";"Rumänisch";"Luni";"Marţi";"Miercuri";"Joi";"Vineri";"Sâmbătă";"Duminică"
"ru";"Russisch";"понедельник";"вторник";"среда";"четверг";"пятница";"суббота";"воскресенье"
"sc";"Sardisch";"Lunisi";"Martisi";"Merculisi";"Giobia";"Cenarba";"Sabadu";"Ominigu"
"sv";"Schwedisch";"måndag";"tisdag";"onsdag";"torsdag";"fredag";"lördag";"söndag"
"sr";"Serbisch";"понедељак";"уторак";"среда";"четвртак";"петак";"субота";"недеља"
"sk";"Slowakisch";"pondelok";"utorok";"streda";"štvrtok";"piatok";"sobota";"nedela"
"es";"Spanisch";"lunes";"martes";"miércoles";"jueves";"viernes";"sábado";"domingo"
"sw";"Swahili";"Jumatatu";"Jumanne";"Jumatano";"Alhamisi";"Ijumaa";"Jumamosi";"Jumapili"
"tl";"Tagalog";"Lunes";"Martes";"Miyerkules";"Huwebes";"Biyernes";"Sabado";"Linggo"
"ta";"Tamilisch";"Thingal";"Chevvai";"Puthan";"Vyalan";"Velli";"Chany";"Gnayaru"
"th";"Thai";"วันจันทร์";"วันอังคาร";"วันพุธ";"วันพฤหัส";"วันศุกร์";"วันเสาร์";"วันอาทิตย์"
"tpi";"Tok Pisin";"Mande";"Tunde";"Trinde";"Fonde";"Fraide";"Sarere";"Sande"
"cs";"Tschechisch";"pondělí";"úterý";"středa";"čtvrtek";"pátek";"sobota";"neděle"
"tr";"Türkisch";"pazartesi";"salı";"çarşamba";"perşembe";"cuma";"cumartesi";"pazar"
"hu";"Ungarisch";"hétfő";"kedd";"szerda";"csütörtök";"péntek";"szombat";"vasárnap"
